txName: T4tbWoff
conditionDescription: not yet assigned
condition: not yet assigned
constraint: not yet assigned
figureUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS14011/T2tbHybridNew0Lp1Lp2LXSEC.pdf
validated: None
axes: Eq(mother,x)_Eq(inter0,y+5.0)_Eq(lsp,y)+Eq(mother,x)_Eq(lsp,y)
publishedData: True
upperLimits: [[[[100.0*GeV, 5.0*GeV, 0.0*GeV], [100.0*GeV, 0.0*GeV]], 164.008232158*pb],
[[[475.0*GeV, 155.0*GeV, 150.0*GeV], [475.0*GeV, 150.0*GeV]], 0.0964118581528*pb],
[[[475.0*GeV, 180.0*GeV, 175.0*GeV], [475.0*GeV, 175.0*GeV]], 0.139043166858*pb],
[[[475.0*GeV, 205.0*GeV, 200.0*GeV], [475.0*GeV, 200.0*GeV]], 0.212375509292*pb],
[[[475.0*GeV, 230.0*GeV, 225.0*GeV], [475.0*GeV, 225.0*GeV]], 0.328520294332*pb],
[[[475.0*GeV, 255.0*GeV, 250.0*GeV], [475.0*GeV, 250.0*GeV]], 0.506711885225*pb],
[[[475.0*GeV, 280.0*GeV, 275.0*GeV], [475.0*GeV, 275.0*GeV]], 0.738073732161*pb],
[[[475.0*GeV, 305.0*GeV, 300.0*GeV], [475.0*GeV, 300.0*GeV]], 1.04674736919*pb],
[[[475.0*GeV, 330.0*GeV, 325.0*GeV], [475.0*GeV, 325.0*GeV]], 1.42761778903*pb],
[[[475.0*GeV, 355.0*GeV, 350.0*GeV], [475.0*GeV, 350.0*GeV]], 1.83516370117*pb],
[[[475.0*GeV, 380.0*GeV, 375.0*GeV], [475.0*GeV, 375.0*GeV]], 2.18370596229*pb],
[[[500.0*GeV, 5.0*GeV, 0.0*GeV], [500.0*GeV, 0.0*GeV]], 0.0332642787286*pb],
[[[500.0*GeV, 30.0*GeV, 25.0*GeV], [500.0*GeV, 25.0*GeV]], 0.0343862154574*pb],
[[[500.0*GeV, 55.0*GeV, 50.0*GeV], [500.0*GeV, 50.0*GeV]], 0.0378642669292*pb],
[[[500.0*GeV, 80.0*GeV, 75.0*GeV], [500.0*GeV, 75.0*GeV]], 0.0413350219248*pb],
[[[500.0*GeV, 105.0*GeV, 100.0*GeV], [500.0*GeV, 100.0*GeV]], 0.0451989419158*pb],
[[[500.0*GeV, 130.0*GeV, 125.0*GeV], [500.0*GeV, 125.0*GeV]], 0.0504199204965*pb],
[[[500.0*GeV, 155.0*GeV, 150.0*GeV], [500.0*GeV, 150.0*GeV]], 0.0594924616542*pb],
[[[500.0*GeV, 180.0*GeV, 175.0*GeV], [500.0*GeV, 175.0*GeV]], 0.0826536365622*pb],
[[[500.0*GeV, 205.0*GeV, 200.0*GeV], [500.0*GeV, 200.0*GeV]], 0.12115291493*pb],
[[[500.0*GeV, 230.0*GeV, 225.0*GeV], [500.0*GeV, 225.0*GeV]], 0.180764867807*pb],
[[[500.0*GeV, 255.0*GeV, 250.0*GeV], [500.0*GeV, 250.0*GeV]], 0.271059516572*pb],
[[[500.0*GeV, 280.0*GeV, 275.0*GeV], [500.0*GeV, 275.0*GeV]], 0.408805393647*pb],
[[[500.0*GeV, 305.0*GeV, 300.0*GeV], [500.0*GeV, 300.0*GeV]], 0.609470391496*pb],
[[[500.0*GeV, 330.0*GeV, 325.0*GeV], [500.0*GeV, 325.0*GeV]], 0.886789624759*pb],
[[[500.0*GeV, 355.0*GeV, 350.0*GeV], [500.0*GeV, 350.0*GeV]], 1.21957136065*pb],
[[[500.0*GeV, 380.0*GeV, 375.0*GeV], [500.0*GeV, 375.0*GeV]], 1.48447079564*pb],
[[[500.0*GeV, 405.0*GeV, 400.0*GeV], [500.0*GeV, 400.0*GeV]], 1.68315110655*pb],
[[[525.0*GeV, 5.0*GeV, 0.0*GeV], [525.0*GeV, 0.0*GeV]], 0.0267989077143*pb],
[[[525.0*GeV, 30.0*GeV, 25.0*GeV], [525.0*GeV, 25.0*GeV]], 0.0271156791779*pb],
[[[525.0*GeV, 55.0*GeV, 50.0*GeV], [525.0*GeV, 50.0*GeV]], 0.029788629935*pb],
[[[525.0*GeV, 80.0*GeV, 75.0*GeV], [525.0*GeV, 75.0*GeV]], 0.0313059620925*pb],
[[[525.0*GeV, 105.0*GeV, 100.0*GeV], [525.0*GeV, 100.0*GeV]], 0.0329813277773*pb],
[[[525.0*GeV, 130.0*GeV, 125.0*GeV], [525.0*GeV, 125.0*GeV]], 0.0355127506428*pb],
[[[525.0*GeV, 155.0*GeV, 150.0*GeV], [525.0*GeV, 150.0*GeV]], 0.0406170019129*pb],
[[[525.0*GeV, 180.0*GeV, 175.0*GeV], [525.0*GeV, 175.0*GeV]], 0.0528865892172*pb],
[[[525.0*GeV, 205.0*GeV, 200.0*GeV], [525.0*GeV, 200.0*GeV]], 0.0729377355521*pb],
[[[525.0*GeV, 230.0*GeV, 225.0*GeV], [525.0*GeV, 225.0*GeV]], 0.102897959475*pb],
[[[525.0*GeV, 255.0*GeV, 250.0*GeV], [525.0*GeV, 250.0*GeV]], 0.150071125908*pb],
[[[525.0*GeV, 280.0*GeV, 275.0*GeV], [525.0*GeV, 275.0*GeV]], 0.228172597604*pb],
[[[525.0*GeV, 305.0*GeV, 300.0*GeV], [525.0*GeV, 300.0*GeV]], 0.354315995098*pb],
[[[525.0*GeV, 330.0*GeV, 325.0*GeV], [525.0*GeV, 325.0*GeV]], 0.542978206347*pb],
[[[525.0*GeV, 355.0*GeV, 350.0*GeV], [525.0*GeV, 350.0*GeV]], 0.788218363736*pb],
[[[525.0*GeV, 380.0*GeV, 375.0*GeV], [525.0*GeV, 375.0*GeV]], 0.973502451057*pb],
[[[525.0*GeV, 405.0*GeV, 400.0*GeV], [525.0*GeV, 400.0*GeV]], 1.12671024104*pb],
[[[525.0*GeV, 430.0*GeV, 425.0*GeV], [525.0*GeV, 425.0*GeV]], 1.26108652592*pb],
[[[550.0*GeV, 5.0*GeV, 0.0*GeV], [550.0*GeV, 0.0*GeV]], 0.022187998658*pb],
[[[550.0*GeV, 30.0*GeV, 25.0*GeV], [550.0*GeV, 25.0*GeV]], 0.0226920367649*pb],
[[[550.0*GeV, 55.0*GeV, 50.0*GeV], [550.0*GeV, 50.0*GeV]], 0.0237009702711*pb],
[[[550.0*GeV, 80.0*GeV, 75.0*GeV], [550.0*GeV, 75.0*GeV]], 0.0246227053294*pb],
[[[550.0*GeV, 105.0*GeV, 100.0*GeV], [550.0*GeV, 100.0*GeV]], 0.0253533311934*pb],
[[[550.0*GeV, 130.0*GeV, 125.0*GeV], [550.0*GeV, 125.0*GeV]], 0.0266008415157*pb],
[[[550.0*GeV, 155.0*GeV, 150.0*GeV], [550.0*GeV, 150.0*GeV]], 0.0293940814113*pb],
[[[550.0*GeV, 180.0*GeV, 175.0*GeV], [550.0*GeV, 175.0*GeV]], 0.0362521950056*pb],
[[[550.0*GeV, 205.0*GeV, 200.0*GeV], [550.0*GeV, 200.0*GeV]], 0.0469018725886*pb],
[[[550.0*GeV, 230.0*GeV, 225.0*GeV], [550.0*GeV, 225.0*GeV]], 0.0617405090888*pb],
[[[550.0*GeV, 255.0*GeV, 250.0*GeV], [550.0*GeV, 250.0*GeV]], 0.0834649007224*pb],
[[[550.0*GeV, 280.0*GeV, 275.0*GeV], [550.0*GeV, 275.0*GeV]], 0.130305591285*pb],
[[[550.0*GeV, 305.0*GeV, 300.0*GeV], [550.0*GeV, 300.0*GeV]], 0.206842531001*pb],
[[[550.0*GeV, 330.0*GeV, 325.0*GeV], [550.0*GeV, 325.0*GeV]], 0.323931121743*pb],
[[[550.0*GeV, 355.0*GeV, 350.0*GeV], [550.0*GeV, 350.0*GeV]], 0.481357173509*pb],
[[[550.0*GeV, 380.0*GeV, 375.0*GeV], [550.0*GeV, 375.0*GeV]], 0.612784635391*pb],
[[[550.0*GeV, 405.0*GeV, 400.0*GeV], [550.0*GeV, 400.0*GeV]], 0.734563466913*pb],
[[[550.0*GeV, 430.0*GeV, 425.0*GeV], [550.0*GeV, 425.0*GeV]], 0.853198159207*pb],
[[[550.0*GeV, 455.0*GeV, 450.0*GeV], [550.0*GeV, 450.0*GeV]], 0.958974973062*pb],
[[[575.0*GeV, 5.0*GeV, 0.0*GeV], [575.0*GeV, 0.0*GeV]], 0.0186267458044*pb],
[[[575.0*GeV, 30.0*GeV, 25.0*GeV], [575.0*GeV, 25.0*GeV]], 0.0184692820831*pb],
[[[575.0*GeV, 55.0*GeV, 50.0*GeV], [575.0*GeV, 50.0*GeV]], 0.019972213395*pb],
[[[575.0*GeV, 80.0*GeV, 75.0*GeV], [575.0*GeV, 75.0*GeV]], 0.0201650461996*pb],
[[[575.0*GeV, 105.0*GeV, 100.0*GeV], [575.0*GeV, 100.0*GeV]], 0.0204138002864*pb],
[[[575.0*GeV, 130.0*GeV, 125.0*GeV], [575.0*GeV, 125.0*GeV]], 0.0210130378615*pb],
[[[575.0*GeV, 155.0*GeV, 150.0*GeV], [575.0*GeV, 150.0*GeV]], 0.0226106000675*pb],
[[[575.0*GeV, 180.0*GeV, 175.0*GeV], [575.0*GeV, 175.0*GeV]], 0.0266027596404*pb],
[[[575.0*GeV, 205.0*GeV, 200.0*GeV], [575.0*GeV, 200.0*GeV]], 0.0326335193677*pb],
[[[575.0*GeV, 230.0*GeV, 225.0*GeV], [575.0*GeV, 225.0*GeV]], 0.0407693668814*pb],
[[[575.0*GeV, 255.0*GeV, 250.0*GeV], [575.0*GeV, 250.0*GeV]], 0.0532748502978*pb],
[[[575.0*GeV, 280.0*GeV, 275.0*GeV], [575.0*GeV, 275.0*GeV]], 0.0796832413433*pb],
[[[575.0*GeV, 305.0*GeV, 300.0*GeV], [575.0*GeV, 300.0*GeV]], 0.123444098012*pb],
[[[575.0*GeV, 330.0*GeV, 325.0*GeV], [575.0*GeV, 325.0*GeV]], 0.189624303497*pb],
[[[575.0*GeV, 355.0*GeV, 350.0*GeV], [575.0*GeV, 350.0*GeV]], 0.281929478503*pb],
[[[575.0*GeV, 380.0*GeV, 375.0*GeV], [575.0*GeV, 375.0*GeV]], 0.370912303186*pb],
[[[575.0*GeV, 405.0*GeV, 400.0*GeV], [575.0*GeV, 400.0*GeV]], 0.468634599466*pb],
[[[575.0*GeV, 430.0*GeV, 425.0*GeV], [575.0*GeV, 425.0*GeV]], 0.572910705686*pb],
[[[575.0*GeV, 455.0*GeV, 450.0*GeV], [575.0*GeV, 450.0*GeV]], 0.669762648854*pb],
[[[575.0*GeV, 480.0*GeV, 475.0*GeV], [575.0*GeV, 475.0*GeV]], 0.741286342325*pb],
[[[600.0*GeV, 5.0*GeV, 0.0*GeV], [600.0*GeV, 0.0*GeV]], 0.0161439596658*pb],
[[[600.0*GeV, 30.0*GeV, 25.0*GeV], [600.0*GeV, 25.0*GeV]], 0.0162331898247*pb],
[[[600.0*GeV, 55.0*GeV, 50.0*GeV], [600.0*GeV, 50.0*GeV]], 0.016519612577*pb],
[[[600.0*GeV, 80.0*GeV, 75.0*GeV], [600.0*GeV, 75.0*GeV]], 0.0169706876522*pb],
[[[600.0*GeV, 105.0*GeV, 100.0*GeV], [600.0*GeV, 100.0*GeV]], 0.0171519976163*pb],
[[[600.0*GeV, 130.0*GeV, 125.0*GeV], [600.0*GeV, 125.0*GeV]], 0.0174639321388*pb],
[[[600.0*GeV, 155.0*GeV, 150.0*GeV], [600.0*GeV, 150.0*GeV]], 0.0183055641074*pb],
[[[600.0*GeV, 180.0*GeV, 175.0*GeV], [600.0*GeV, 175.0*GeV]], 0.0209053391791*pb],
[[[600.0*GeV, 205.0*GeV, 200.0*GeV], [600.0*GeV, 200.0*GeV]], 0.0246093154577*pb],
[[[600.0*GeV, 230.0*GeV, 225.0*GeV], [600.0*GeV, 225.0*GeV]], 0.0295403940884*pb],
[[[600.0*GeV, 255.0*GeV, 250.0*GeV], [600.0*GeV, 250.0*GeV]], 0.03701244555*pb],
[[[600.0*GeV, 280.0*GeV, 275.0*GeV], [600.0*GeV, 275.0*GeV]], 0.0524361133709*pb],
[[[600.0*GeV, 305.0*GeV, 300.0*GeV], [600.0*GeV, 300.0*GeV]], 0.0766871852782*pb],
[[[600.0*GeV, 330.0*GeV, 325.0*GeV], [600.0*GeV, 325.0*GeV]], 0.111320953711*pb],
[[[600.0*GeV, 355.0*GeV, 350.0*GeV], [600.0*GeV, 350.0*GeV]], 0.156834325529*pb],
[[[600.0*GeV, 380.0*GeV, 375.0*GeV], [600.0*GeV, 375.0*GeV]], 0.219743550379*pb],
[[[600.0*GeV, 405.0*GeV, 400.0*GeV], [600.0*GeV, 400.0*GeV]], 0.296155822837*pb],
[[[600.0*GeV, 430.0*GeV, 425.0*GeV], [600.0*GeV, 425.0*GeV]], 0.384863885934*pb],
[[[600.0*GeV, 455.0*GeV, 450.0*GeV], [600.0*GeV, 450.0*GeV]], 0.47292506701*pb],
[[[600.0*GeV, 480.0*GeV, 475.0*GeV], [600.0*GeV, 475.0*GeV]], 0.529294354029*pb],
[[[600.0*GeV, 505.0*GeV, 500.0*GeV], [600.0*GeV, 500.0*GeV]], 0.563096511989*pb],
[[[625.0*GeV, 5.0*GeV, 0.0*GeV], [625.0*GeV, 0.0*GeV]], 0.0142230491589*pb],
[[[625.0*GeV, 30.0*GeV, 25.0*GeV], [625.0*GeV, 25.0*GeV]], 0.0141744611071*pb],
[[[625.0*GeV, 55.0*GeV, 50.0*GeV], [625.0*GeV, 50.0*GeV]], 0.0148301308093*pb],
[[[625.0*GeV, 80.0*GeV, 75.0*GeV], [625.0*GeV, 75.0*GeV]], 0.0148932781144*pb],
[[[625.0*GeV, 105.0*GeV, 100.0*GeV], [625.0*GeV, 100.0*GeV]], 0.0150049935875*pb],
[[[625.0*GeV, 130.0*GeV, 125.0*GeV], [625.0*GeV, 125.0*GeV]], 0.0152892443935*pb],
[[[625.0*GeV, 155.0*GeV, 150.0*GeV], [625.0*GeV, 150.0*GeV]], 0.0159827623093*pb],
[[[625.0*GeV, 180.0*GeV, 175.0*GeV], [625.0*GeV, 175.0*GeV]], 0.0175694542893*pb],
[[[625.0*GeV, 205.0*GeV, 200.0*GeV], [625.0*GeV, 200.0*GeV]], 0.0198967792464*pb],
[[[625.0*GeV, 230.0*GeV, 225.0*GeV], [625.0*GeV, 225.0*GeV]], 0.023110131049*pb],
[[[625.0*GeV, 255.0*GeV, 250.0*GeV], [625.0*GeV, 250.0*GeV]], 0.028051639912*pb],
[[[625.0*GeV, 280.0*GeV, 275.0*GeV], [625.0*GeV, 275.0*GeV]], 0.0369603277994*pb],
[[[625.0*GeV, 305.0*GeV, 300.0*GeV], [625.0*GeV, 300.0*GeV]], 0.0503028770239*pb],
[[[625.0*GeV, 330.0*GeV, 325.0*GeV], [625.0*GeV, 325.0*GeV]], 0.0686808483657*pb],
[[[625.0*GeV, 355.0*GeV, 350.0*GeV], [625.0*GeV, 350.0*GeV]], 0.0943449115912*pb],
[[[625.0*GeV, 380.0*GeV, 375.0*GeV], [625.0*GeV, 375.0*GeV]], 0.133389179043*pb],
[[[625.0*GeV, 405.0*GeV, 400.0*GeV], [625.0*GeV, 400.0*GeV]], 0.188011991717*pb],
[[[625.0*GeV, 430.0*GeV, 425.0*GeV], [625.0*GeV, 425.0*GeV]], 0.258140387583*pb],
[[[625.0*GeV, 455.0*GeV, 450.0*GeV], [625.0*GeV, 450.0*GeV]], 0.33417724558*pb],
[[[625.0*GeV, 480.0*GeV, 475.0*GeV], [625.0*GeV, 475.0*GeV]], 0.375218789589*pb],
[[[625.0*GeV, 505.0*GeV, 500.0*GeV], [625.0*GeV, 500.0*GeV]], 0.398790552447*pb],
[[[625.0*GeV, 530.0*GeV, 525.0*GeV], [625.0*GeV, 525.0*GeV]], 0.415666371407*pb],
[[[650.0*GeV, 5.0*GeV, 0.0*GeV], [650.0*GeV, 0.0*GeV]], 0.0127723129522*pb],
[[[650.0*GeV, 30.0*GeV, 25.0*GeV], [650.0*GeV, 25.0*GeV]], 0.0127464927437*pb],
[[[650.0*GeV, 55.0*GeV, 50.0*GeV], [650.0*GeV, 50.0*GeV]], 0.0131157444538*pb],
[[[650.0*GeV, 80.0*GeV, 75.0*GeV], [650.0*GeV, 75.0*GeV]], 0.0133290817375*pb],
[[[650.0*GeV, 105.0*GeV, 100.0*GeV], [650.0*GeV, 100.0*GeV]], 0.0135001732433*pb],
[[[650.0*GeV, 130.0*GeV, 125.0*GeV], [650.0*GeV, 125.0*GeV]], 0.0138449274461*pb],
[[[650.0*GeV, 155.0*GeV, 150.0*GeV], [650.0*GeV, 150.0*GeV]], 0.0144927346099*pb],
[[[650.0*GeV, 180.0*GeV, 175.0*GeV], [650.0*GeV, 175.0*GeV]], 0.0154428870843*pb],
[[[650.0*GeV, 205.0*GeV, 200.0*GeV], [650.0*GeV, 200.0*GeV]], 0.0168909493541*pb],
[[[650.0*GeV, 230.0*GeV, 225.0*GeV], [650.0*GeV, 225.0*GeV]], 0.0190190674024*pb],
[[[650.0*GeV, 255.0*GeV, 250.0*GeV], [650.0*GeV, 250.0*GeV]], 0.0222645074455*pb],
[[[650.0*GeV, 280.0*GeV, 275.0*GeV], [650.0*GeV, 275.0*GeV]], 0.0275067581243*pb],
[[[650.0*GeV, 305.0*GeV, 300.0*GeV], [650.0*GeV, 300.0*GeV]], 0.0349276178292*pb],
[[[650.0*GeV, 330.0*GeV, 325.0*GeV], [650.0*GeV, 325.0*GeV]], 0.0448243932892*pb],
[[[650.0*GeV, 355.0*GeV, 350.0*GeV], [650.0*GeV, 350.0*GeV]], 0.0586934378291*pb],
[[[650.0*GeV, 380.0*GeV, 375.0*GeV], [650.0*GeV, 375.0*GeV]], 0.0835843270744*pb],
[[[650.0*GeV, 405.0*GeV, 400.0*GeV], [650.0*GeV, 400.0*GeV]], 0.120369922322*pb],
[[[650.0*GeV, 430.0*GeV, 425.0*GeV], [650.0*GeV, 425.0*GeV]], 0.170571662019*pb],
[[[650.0*GeV, 455.0*GeV, 450.0*GeV], [650.0*GeV, 450.0*GeV]], 0.228579718932*pb],
[[[650.0*GeV, 480.0*GeV, 475.0*GeV], [650.0*GeV, 475.0*GeV]], 0.259193601181*pb],
[[[650.0*GeV, 505.0*GeV, 500.0*GeV], [650.0*GeV, 500.0*GeV]], 0.278202512024*pb],
[[[650.0*GeV, 530.0*GeV, 525.0*GeV], [650.0*GeV, 525.0*GeV]], 0.293044013303*pb],
[[[650.0*GeV, 555.0*GeV, 550.0*GeV], [650.0*GeV, 550.0*GeV]], 0.30606734971*pb],
[[[675.0*GeV, 5.0*GeV, 0.0*GeV], [675.0*GeV, 0.0*GeV]], 0.0116325925151*pb],
[[[675.0*GeV, 30.0*GeV, 25.0*GeV], [675.0*GeV, 25.0*GeV]], 0.0117987239131*pb],
[[[675.0*GeV, 55.0*GeV, 50.0*GeV], [675.0*GeV, 50.0*GeV]], 0.0119784943071*pb],
[[[675.0*GeV, 80.0*GeV, 75.0*GeV], [675.0*GeV, 75.0*GeV]], 0.0121341798247*pb],
[[[675.0*GeV, 105.0*GeV, 100.0*GeV], [675.0*GeV, 100.0*GeV]], 0.0123176413233*pb],
[[[675.0*GeV, 130.0*GeV, 125.0*GeV], [675.0*GeV, 125.0*GeV]], 0.012688560716*pb],
[[[675.0*GeV, 155.0*GeV, 150.0*GeV], [675.0*GeV, 150.0*GeV]], 0.013271326332*pb],
[[[675.0*GeV, 180.0*GeV, 175.0*GeV], [675.0*GeV, 175.0*GeV]], 0.0138445608204*pb],
[[[675.0*GeV, 205.0*GeV, 200.0*GeV], [675.0*GeV, 200.0*GeV]], 0.0147367905973*pb],
[[[675.0*GeV, 230.0*GeV, 225.0*GeV], [675.0*GeV, 225.0*GeV]], 0.0161290006893*pb],
[[[675.0*GeV, 255.0*GeV, 250.0*GeV], [675.0*GeV, 250.0*GeV]], 0.0182446023086*pb],
[[[675.0*GeV, 280.0*GeV, 275.0*GeV], [675.0*GeV, 275.0*GeV]], 0.0213759051566*pb],
[[[675.0*GeV, 305.0*GeV, 300.0*GeV], [675.0*GeV, 300.0*GeV]], 0.0256129751585*pb],
[[[675.0*GeV, 330.0*GeV, 325.0*GeV], [675.0*GeV, 325.0*GeV]], 0.0311263712077*pb],
[[[675.0*GeV, 355.0*GeV, 350.0*GeV], [675.0*GeV, 350.0*GeV]], 0.0392626015152*pb],
[[[675.0*GeV, 380.0*GeV, 375.0*GeV], [675.0*GeV, 375.0*GeV]], 0.0545679517706*pb],
[[[675.0*GeV, 405.0*GeV, 400.0*GeV], [675.0*GeV, 400.0*GeV]], 0.0779513922629*pb],
[[[675.0*GeV, 430.0*GeV, 425.0*GeV], [675.0*GeV, 425.0*GeV]], 0.110115945539*pb],
[[[675.0*GeV, 455.0*GeV, 450.0*GeV], [675.0*GeV, 450.0*GeV]], 0.14862542158*pb],
[[[675.0*GeV, 480.0*GeV, 475.0*GeV], [675.0*GeV, 475.0*GeV]], 0.172566286091*pb],
[[[675.0*GeV, 505.0*GeV, 500.0*GeV], [675.0*GeV, 500.0*GeV]], 0.191205027684*pb],
[[[675.0*GeV, 530.0*GeV, 525.0*GeV], [675.0*GeV, 525.0*GeV]], 0.207758554665*pb],
[[[675.0*GeV, 555.0*GeV, 550.0*GeV], [675.0*GeV, 550.0*GeV]], 0.223685471561*pb],
[[[675.0*GeV, 580.0*GeV, 575.0*GeV], [675.0*GeV, 575.0*GeV]], 0.242417013309*pb],
[[[700.0*GeV, 5.0*GeV, 0.0*GeV], [700.0*GeV, 0.0*GeV]], 0.0105695630544*pb],
[[[700.0*GeV, 30.0*GeV, 25.0*GeV], [700.0*GeV, 25.0*GeV]], 0.0106166052632*pb],
[[[700.0*GeV, 55.0*GeV, 50.0*GeV], [700.0*GeV, 50.0*GeV]], 0.0110762463299*pb],
[[[700.0*GeV, 80.0*GeV, 75.0*GeV], [700.0*GeV, 75.0*GeV]], 0.0111079666545*pb],
[[[700.0*GeV, 105.0*GeV, 100.0*GeV], [700.0*GeV, 100.0*GeV]], 0.0112578405771*pb],
[[[700.0*GeV, 130.0*GeV, 125.0*GeV], [700.0*GeV, 125.0*GeV]], 0.0116028867229*pb],
[[[700.0*GeV, 155.0*GeV, 150.0*GeV], [700.0*GeV, 150.0*GeV]], 0.0121072130611*pb],
[[[700.0*GeV, 180.0*GeV, 175.0*GeV], [700.0*GeV, 175.0*GeV]], 0.0124619750372*pb],
[[[700.0*GeV, 205.0*GeV, 200.0*GeV], [700.0*GeV, 200.0*GeV]], 0.0130315539898*pb],
[[[700.0*GeV, 230.0*GeV, 225.0*GeV], [700.0*GeV, 225.0*GeV]], 0.0139495330232*pb],
[[[700.0*GeV, 255.0*GeV, 250.0*GeV], [700.0*GeV, 250.0*GeV]], 0.0152891502354*pb],
[[[700.0*GeV, 280.0*GeV, 275.0*GeV], [700.0*GeV, 275.0*GeV]], 0.0172719475305*pb],
[[[700.0*GeV, 305.0*GeV, 300.0*GeV], [700.0*GeV, 300.0*GeV]], 0.0198113405563*pb],
[[[700.0*GeV, 330.0*GeV, 325.0*GeV], [700.0*GeV, 325.0*GeV]], 0.0230118237632*pb],
[[[700.0*GeV, 355.0*GeV, 350.0*GeV], [700.0*GeV, 350.0*GeV]], 0.0275937915203*pb],
[[[700.0*GeV, 380.0*GeV, 375.0*GeV], [700.0*GeV, 375.0*GeV]], 0.0374090131182*pb],
[[[700.0*GeV, 405.0*GeV, 400.0*GeV], [700.0*GeV, 400.0*GeV]], 0.0517180219484*pb],
[[[700.0*GeV, 430.0*GeV, 425.0*GeV], [700.0*GeV, 425.0*GeV]], 0.0704285119102*pb],
[[[700.0*GeV, 455.0*GeV, 450.0*GeV], [700.0*GeV, 450.0*GeV]], 0.0919475372581*pb],
[[[700.0*GeV, 480.0*GeV, 475.0*GeV], [700.0*GeV, 475.0*GeV]], 0.112086351117*pb],
[[[700.0*GeV, 505.0*GeV, 500.0*GeV], [700.0*GeV, 500.0*GeV]], 0.130625156171*pb],
[[[700.0*GeV, 530.0*GeV, 525.0*GeV], [700.0*GeV, 525.0*GeV]], 0.148360242021*pb],
[[[700.0*GeV, 555.0*GeV, 550.0*GeV], [700.0*GeV, 550.0*GeV]], 0.165070499402*pb],
[[[700.0*GeV, 580.0*GeV, 575.0*GeV], [700.0*GeV, 575.0*GeV]], 0.181244880426*pb],
[[[700.0*GeV, 605.0*GeV, 600.0*GeV], [700.0*GeV, 600.0*GeV]], 0.196197794478*pb],
[[[725.0*GeV, 5.0*GeV, 0.0*GeV], [725.0*GeV, 0.0*GeV]], 0.00965903913277*pb],
[[[725.0*GeV, 30.0*GeV, 25.0*GeV], [725.0*GeV, 25.0*GeV]], 0.00971213355769*pb],
[[[725.0*GeV, 55.0*GeV, 50.0*GeV], [725.0*GeV, 50.0*GeV]], 0.00989393341557*pb],
[[[725.0*GeV, 80.0*GeV, 75.0*GeV], [725.0*GeV, 75.0*GeV]], 0.0100602265751*pb],
[[[725.0*GeV, 105.0*GeV, 100.0*GeV], [725.0*GeV, 100.0*GeV]], 0.0102350220281*pb],
[[[725.0*GeV, 130.0*GeV, 125.0*GeV], [725.0*GeV, 125.0*GeV]], 0.0105196105107*pb],
[[[725.0*GeV, 155.0*GeV, 150.0*GeV], [725.0*GeV, 150.0*GeV]], 0.0109012160969*pb],
[[[725.0*GeV, 180.0*GeV, 175.0*GeV], [725.0*GeV, 175.0*GeV]], 0.0111830812061*pb],
[[[725.0*GeV, 205.0*GeV, 200.0*GeV], [725.0*GeV, 200.0*GeV]], 0.0116093427812*pb],
[[[725.0*GeV, 230.0*GeV, 225.0*GeV], [725.0*GeV, 225.0*GeV]], 0.0122798382959*pb],
[[[725.0*GeV, 255.0*GeV, 250.0*GeV], [725.0*GeV, 250.0*GeV]], 0.0132428284026*pb],
[[[725.0*GeV, 280.0*GeV, 275.0*GeV], [725.0*GeV, 275.0*GeV]], 0.0145019023361*pb],
[[[725.0*GeV, 305.0*GeV, 300.0*GeV], [725.0*GeV, 300.0*GeV]], 0.0161246189556*pb],
[[[725.0*GeV, 330.0*GeV, 325.0*GeV], [725.0*GeV, 325.0*GeV]], 0.0182335070529*pb],
[[[725.0*GeV, 355.0*GeV, 350.0*GeV], [725.0*GeV, 350.0*GeV]], 0.0214043723022*pb],
[[[725.0*GeV, 380.0*GeV, 375.0*GeV], [725.0*GeV, 375.0*GeV]], 0.0273963311441*pb],
[[[725.0*GeV, 405.0*GeV, 400.0*GeV], [725.0*GeV, 400.0*GeV]], 0.0358704644501*pb],
[[[725.0*GeV, 430.0*GeV, 425.0*GeV], [725.0*GeV, 425.0*GeV]], 0.0464096525932*pb],
[[[725.0*GeV, 455.0*GeV, 450.0*GeV], [725.0*GeV, 450.0*GeV]], 0.0590223181069*pb],
[[[725.0*GeV, 480.0*GeV, 475.0*GeV], [725.0*GeV, 475.0*GeV]], 0.0738094358554*pb],
[[[725.0*GeV, 505.0*GeV, 500.0*GeV], [725.0*GeV, 500.0*GeV]], 0.0902619350461*pb],
[[[725.0*GeV, 530.0*GeV, 525.0*GeV], [725.0*GeV, 525.0*GeV]], 0.107258604046*pb],
[[[725.0*GeV, 555.0*GeV, 550.0*GeV], [725.0*GeV, 550.0*GeV]], 0.123797025358*pb],
[[[725.0*GeV, 580.0*GeV, 575.0*GeV], [725.0*GeV, 575.0*GeV]], 0.136895782188*pb],
[[[725.0*GeV, 605.0*GeV, 600.0*GeV], [725.0*GeV, 600.0*GeV]], 0.148489639228*pb],
[[[725.0*GeV, 630.0*GeV, 625.0*GeV], [725.0*GeV, 625.0*GeV]], 0.159466317142*pb],
[[[750.0*GeV, 5.0*GeV, 0.0*GeV], [750.0*GeV, 0.0*GeV]], 0.00886842553535*pb],
